,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Butler,Providence,@UConn,--BYE--,--BYE--,Creighton,Seton Hall,Villanova,@Providence,UConn,@Creighton,@Seton Hall,--BYE--,Marquette,@DePaul,@Georgetown,DePaul,Georgetown,@Villanova,St. Johns,--BYE--,@Xavier,@St. Johns,Xavier,@Marquette
UConn,@St. Johns,Butler,--BYE--,@Providence,St. Johns,@Villanova,Xavier,Georgetown,@Butler,Marquette,@Georgetown,--BYE--,DePaul,Seton Hall,--BYE--,Villanova,@Seton Hall,Creighton,--BYE--,Providence,@Marquette,@DePaul,@Creighton,@Xavier
Creighton,--BYE--,Providence,--BYE--,--BYE--,@Butler,@St. Johns,DePaul,@Xavier,@Providence,Butler,St. Johns,Marquette,@Georgetown,@Marquette,Xavier,Seton Hall,Villanova,@UConn,@Seton Hall,@Villanova,--BYE--,Georgetown,UConn,@DePaul
DePaul,Villanova,@St. Johns,--BYE--,Seton Hall,@Xavier,Georgetown,@Creighton,--BYE--,@Georgetown,Providence,@Villanova,--BYE--,@UConn,Butler,Marquette,@Butler,--BYE--,@Marquette,Xavier,@Seton Hall,St. Johns,UConn,@Providence,Creighton
Georgetown,@Marquette,@Seton Hall,--BYE--,--BYE--,Marquette,@DePaul,@Providence,@UConn,DePaul,@Villanova,UConn,--BYE--,Creighton,Xavier,Butler,@Xavier,@Butler,@St. Johns,Villanova,St. Johns,Providence,@Creighton,--BYE--,Seton Hall
Marquette,Georgetown,--BYE--,--BYE--,@Villanova,@Georgetown,Xavier,Seton Hall,@St. Johns,@Seton Hall,@UConn,--BYE--,@Creighton,@Butler,Creighton,@DePaul,St. Johns,@Providence,DePaul,Providence,@Xavier,UConn,--BYE--,Villanova,Butler
Providence,@Butler,@Creighton,--BYE--,UConn,Villanova,--BYE--,Georgetown,Butler,Creighton,@DePaul,@Xavier,--BYE--,St. Johns,@Villanova,@Seton Hall,--BYE--,Marquette,Xavier,@Marquette,@UConn,@Georgetown,Seton Hall,DePaul,@St. Johns
St. Johns,UConn,DePaul,--BYE--,@Xavier,@UConn,Creighton,--BYE--,Marquette,Villanova,Seton Hall,@Creighton,--BYE--,@Providence,--BYE--,@Villanova,@Marquette,Xavier,Georgetown,@Butler,@Georgetown,@DePaul,Butler,@Seton Hall,Providence
Seton Hall,@Xavier,Georgetown,--BYE--,@DePaul,--BYE--,@Butler,@Marquette,Villanova,Marquette,@St. Johns,Butler,--BYE--,Xavier,@UConn,Providence,@Creighton,UConn,--BYE--,Creighton,DePaul,@Villanova,@Providence,St. Johns,@Georgetown
Villanova,@DePaul,@Xavier,--BYE--,Marquette,@Providence,UConn,@Butler,@Seton Hall,@St. Johns,Georgetown,DePaul,--BYE--,--BYE--,Providence,St. Johns,@UConn,@Creighton,Butler,@Georgetown,Creighton,Seton Hall,Xavier,@Marquette,--BYE--
Xavier,Seton Hall,Villanova,--BYE--,St. Johns,DePaul,@Marquette,@UConn,Creighton,--BYE--,--BYE--,Providence,--BYE--,@Seton Hall,@Georgetown,@Creighton,Georgetown,@St. Johns,@Providence,@DePaul,Marquette,Butler,@Villanova,@Butler,UConn
